Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
19,0,20,"(2, 0)","(0, 0);(1, 0);(2, 0);(1, 0);(0, 0);(1, 0);(2, 0);(1, 0);(0, 0);(1, 0);(1, 0);(0, 0);(0, 1);(0, 0);(0, 1);(0, 0);(0, 0);(0, 0);(1, 0);(2, 0)","(3, 0)",0.9091562615825302,False
20,-2,20,"(1, 1)","(0, 0);(1, 0);(2, 0);(1, 0);(1, 0);(1, 1);(0, 1);(0, 1);(0, 0);(1, 0);(2, 0);(3, 0);(3, 0);(3, 0);(3, 1);(3, 0);(2, 0);(2, 0);(2, 1);(1, 1)","(1, 0)",0.9046104802746175,False
21,0,20,"(4, 2)","(0, 0);(1, 0);(0, 0);(1, 0);(1, 0);(2, 0);(2, 1);(2, 2);(2, 3);(1, 3);(2, 3);(3, 3);(3, 2);(4, 2);(4, 3);(3, 3);(3, 4);(3, 3);(4, 3);(4, 2)","(5, 2)",0.9000874278732445,False
22,0,20,"(4, 1)","(1, 0);(2, 0);(3, 0);(3, 0);(2, 0);(3, 0);(2, 0);(3, 0);(3, 0);(3, 0);(4, 0);(5, 0);(4, 0);(4, 0);(3, 0);(4, 0);(4, 0);(5, 0);(5, 1);(4, 1)","(5, 1)",0.8955869907338783,False
23,-2,20,"(4, 1)","(1, 0);(2, 0);(3, 0);(4, 0);(3, 0);(4, 0);(3, 0);(2, 0);(1, 0);(1, 1);(0, 1);(1, 1);(2, 1);(3, 1);(2, 1);(3, 1);(3, 0);(3, 0);(4, 0);(4, 1)","(5, 1)",0.8911090557802088,False
24,0,20,"(1, 5)","(0, 0);(0, 1);(0, 2);(0, 2);(0, 3);(0, 4);(0, 3);(0, 4);(1, 4);(1, 5);(1, 5);(0, 5);(0, 5);(0, 5);(0, 4);(0, 5);(0, 5);(0, 5);(0, 5);(1, 5)","(1, 5)",0.8866535105013078,False
25,-1,20,"(4, 0)","(0, 1);(0, 1);(0, 2);(0, 2);(0, 2);(0, 1);(0, 0);(0, 1);(0, 0);(1, 0);(0, 0);(0, 0);(0, 1);(0, 1);(1, 1);(1, 0);(2, 0);(3, 0);(4, 0);(4, 0)","(3, 0)",0.8822202429488013,False
26,-1,20,"(0, 3)","(0, 0);(0, 0);(1, 0);(2, 0);(1, 0);(1, 0);(0, 0);(0, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 1);(1, 1);(1, 2);(2, 2);(1, 2);(0, 2);(0, 3);(0, 3)","(0, 4)",0.8778091417340573,False
27,0,20,"(2, 0)","(0, 0);(0, 0);(0, 1);(0, 0);(0, 0);(1, 0);(1, 0);(1, 0);(1, 0);(1, 0);(2, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 1);(3, 0);(3, 1);(2, 1);(2, 0)","(2, 0)",0.8734200960253871,False
28,-3,20,"(2, 1)","(0, 0);(0, 0);(0, 0);(1, 0);(0, 0);(0, 0);(1, 0);(1, 0);(0, 0);(0, 1);(1, 1);(0, 1);(0, 0);(0, 0);(0, 0);(0, 1);(1, 1);(1, 0);(1, 1);(2, 1)","(3, 1)",0.8690529955452602,False
29,-1,20,"(1, 2)","(1, 0);(0, 0);(1, 0);(1, 1);(1, 0);(0, 0);(0, 0);(0, 1);(0, 2);(0, 2);(0, 3);(0, 3);(0, 3);(0, 2);(0, 1);(0, 2);(0, 2);(0, 3);(0, 2);(1, 2)","(1, 1)",0.8647077305675338,False
30,0,20,"(4, 2)","(1, 0);(2, 0);(1, 0);(0, 0);(1, 0);(0, 0);(1, 0);(2, 0);(3, 0);(3, 1);(3, 0);(3, 1);(3, 0);(4, 0);(3, 0);(3, 1);(3, 2);(3, 3);(4, 3);(4, 2)","(4, 1)",0.8603841919146962,False
31,0,20,"(0, 5)","(1, 0);(0, 0);(1, 0);(2, 0);(1, 0);(1, 0);(2, 0);(3, 0);(3, 1);(4, 1);(4, 0);(4, 1);(3, 1);(2, 1);(2, 2);(2, 3);(1, 3);(1, 4);(1, 5);(0, 5)","(0, 5)",0.8560822709551227,False
32,0,20,"(4, 0)","(0, 0);(0, 0);(0, 0);(0, 1);(0, 0);(1, 0);(2, 0);(2, 0);(3, 0);(4, 0);(3, 0);(2, 0);(3, 0);(3, 1);(3, 2);(3, 1);(4, 1);(3, 1);(3, 0);(4, 0)","(4, 1)",0.851801859600347,False
33,-3,20,"(1, 1)","(1, 0);(1, 0);(1, 0);(1, 0);(1, 1);(0, 1);(0, 0);(0, 0);(0, 1);(0, 1);(0, 2);(1, 2);(0, 2);(1, 2);(1, 1);(1, 0);(0, 0);(0, 0);(0, 1);(1, 1)","(2, 1)",0.8475428503023453,False
34,0,20,"(4, 3)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(1, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(3, 5);(4, 5);(4, 5);(4, 4);(3, 4);(4, 4);(5, 4);(5, 3);(4, 3)","(5, 3)",0.8433051360508336,False
35,0,20,"(2, 3)","(0, 0);(0, 0);(0, 0);(0, 1);(0, 2);(1, 2);(0, 2);(1, 2);(1, 3);(1, 2);(2, 2);(2, 3);(2, 4);(1, 4);(1, 3);(1, 4);(2, 4);(3, 4);(3, 3);(2, 3)","(2, 4)",0.8390886103705794,False
36,-2,20,"(0, 1)","(0, 1);(0, 2);(0, 1);(1, 1);(1, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(1, 1);(1, 0);(0, 0);(0, 0);(0, 0);(0, 1);(0, 1);(0, 1)","(0, 2)",0.8348931673187264,False
