Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon
65,0,4,"(0, 1)","(0, 0);(0, 1);(0, 2);(0, 1)","(1, 1)",0.7219385759785162
66,0,4,"(1, 0)","(0, 0);(1, 0);(2, 0);(1, 0)","(2, 0)",0.7183288830986236
67,0,4,"(2, 0)","(0, 0);(0, 0);(1, 0);(2, 0)","(2, 0)",0.7147372386831305
68,-5,4,"(2, 1)","(0, 1);(0, 1);(1, 1);(2, 1)","(2, 1)",0.7111635524897149
69,0,4,"(1, 0)","(0, 0);(0, 0);(1, 0);(1, 0)","(1, 0)",0.7076077347272662
70,0,4,"(0, 2)","(0, 1);(0, 1);(0, 1);(0, 2)","(0, 2)",0.7040696960536299
71,10,4,"(2, 2)","(1, 0);(2, 0);(2, 1);(2, 2)","(2, 1)",0.7005493475733617
72,0,4,"(1, 0)","(0, 0);(0, 0);(0, 0);(1, 0)","(2, 0)",0.697046600835495
73,-5,4,"(2, 1)","(0, 0);(1, 0);(1, 1);(2, 1)","(2, 0)",0.6935613678313175
74,-5,4,"(2, 0)","(0, 1);(1, 1);(1, 0);(2, 0)","(2, 0)",0.6900935609921609
75,-5,4,"(1, 1)","(0, 1);(0, 2);(0, 1);(1, 1)","(1, 0)",0.6866430931872001
76,0,4,"(2, 0)","(0, 0);(1, 0);(2, 0);(2, 0)","(2, 1)",0.6832098777212641
77,-5,4,"(1, 1)","(0, 0);(0, 0);(1, 0);(1, 1)","(2, 1)",0.6797938283326578
78,-5,4,"(1, 1)","(0, 0);(0, 0);(1, 0);(1, 1)","(2, 1)",0.6763948591909945
79,0,4,"(2, 0)","(1, 0);(1, 0);(2, 0);(2, 0)","(2, 0)",0.6730128848950395
80,0,4,"(2, 0)","(1, 0);(2, 0);(1, 0);(2, 0)","(2, 0)",0.6696478204705644
81,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 1)",0.6662995813682115
82,0,4,"(0, 1)","(0, 0);(0, 0);(0, 0);(0, 1)","(0, 1)",0.6629680834613705
83,0,4,"(0, 0)","(0, 0);(0, 0);(0, 0);(0, 0)","(0, 0)",0.6596532430440636
