Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
22,0,20,"(2, 0)","(0, 0);(1, 0);(0, 0);(0, 0);(1, 0);(1, 0);(1, 0);(1, 0);(1, 0);(1, 0);(2, 0);(2, 0);(2, 1);(3, 1);(4, 1);(3, 1);(2, 1);(2, 2);(2, 1);(2, 0)","(1, 0)",0.8955869907338783,False
23,-1,20,"(4, 4)","(0, 1);(1, 1);(2, 1);(2, 2);(2, 3);(3, 3);(2, 3);(2, 4);(3, 4);(3, 5);(3, 5);(2, 5);(2, 4);(2, 3);(2, 4);(2, 5);(2, 5);(3, 5);(3, 4);(4, 4)","(3, 4)",0.8911090557802088,False
24,-1,20,"(4, 1)","(0, 1);(0, 2);(0, 2);(0, 1);(1, 1);(2, 1);(2, 2);(1, 2);(2, 2);(3, 2);(3, 3);(4, 3);(4, 2);(4, 1);(5, 1);(4, 1);(4, 0);(3, 0);(3, 1);(4, 1)","(5, 1)",0.8866535105013078,False
25,-1,20,"(4, 0)","(0, 0);(0, 1);(1, 1);(0, 1);(0, 0);(1, 0);(2, 0);(2, 1);(2, 0);(3, 0);(2, 0);(2, 0);(2, 1);(3, 1);(3, 0);(4, 0);(5, 0);(4, 0);(4, 0);(4, 0)","(3, 0)",0.8822202429488013,False
26,0,20,"(1, 0)","(0, 0);(0, 0);(1, 0);(0, 0);(1, 0);(1, 0);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(2, 0);(1, 0);(1, 0);(1, 0)","(1, 0)",0.8778091417340573,False
27,-1,20,"(2, 4)","(0, 0);(1, 0);(1, 0);(1, 1);(2, 1);(2, 0);(2, 1);(2, 2);(3, 2);(2, 2);(3, 2);(3, 1);(2, 1);(3, 1);(3, 2);(3, 3);(3, 2);(3, 3);(3, 4);(2, 4)","(1, 4)",0.8734200960253871,False
28,-5,20,"(2, 0)","(0, 0);(0, 0);(0, 0);(0, 0);(0, 0);(0, 1);(1, 1);(1, 2);(1, 1);(1, 0);(1, 1);(2, 1);(2, 0);(2, 0);(2, 1);(1, 1);(2, 1);(1, 1);(2, 1);(2, 0)","(3, 0)",0.8690529955452602,False
29,-1,20,"(3, 4)","(0, 0);(0, 1);(0, 1);(0, 2);(1, 2);(1, 3);(1, 2);(1, 1);(0, 1);(0, 2);(0, 3);(0, 3);(1, 3);(2, 3);(3, 3);(3, 4);(2, 4);(3, 4);(2, 4);(3, 4)","(2, 4)",0.8647077305675338,False
30,-2,20,"(4, 0)","(1, 0);(1, 1);(1, 0);(0, 0);(1, 0);(1, 0);(1, 0);(1, 1);(2, 1);(2, 0);(2, 0);(2, 0);(1, 0);(2, 0);(2, 0);(2, 1);(2, 0);(2, 0);(3, 0);(4, 0)","(5, 0)",0.8603841919146962,False
31,0,20,"(0, 2)","(0, 0);(0, 0);(0, 1);(0, 1);(0, 1);(0, 2);(0, 2);(0, 3);(0, 3);(0, 4);(0, 5);(1, 5);(2, 5);(2, 4);(1, 4);(0, 4);(0, 3);(0, 2);(0, 3);(0, 2)","(0, 1)",0.8560822709551227,False
32,-5,20,"(3, 1)","(0, 1);(1, 1);(1, 0);(1, 0);(1, 0);(1, 0);(0, 0);(1, 0);(1, 1);(1, 0);(1, 0);(1, 1);(1, 2);(1, 1);(0, 1);(1, 1);(2, 1);(3, 1);(3, 2);(3, 1)","(4, 1)",0.851801859600347,False
33,0,20,"(1, 3)","(0, 1);(0, 2);(0, 3);(1, 3);(1, 4);(2, 4);(1, 4);(0, 4);(0, 3);(0, 4);(1, 4);(1, 5);(1, 4);(2, 4);(1, 4);(2, 4);(2, 3);(3, 3);(2, 3);(1, 3)","(1, 2)",0.8475428503023453,False
34,-3,20,"(5, 0)","(0, 0);(1, 0);(2, 0);(1, 0);(1, 1);(0, 1);(0, 0);(0, 0);(0, 1);(1, 1);(2, 1);(1, 1);(2, 1);(3, 1);(3, 0);(3, 1);(3, 0);(4, 0);(4, 0);(5, 0)","(5, 0)",0.8433051360508336,False
35,-1,20,"(1, 1)","(0, 0);(0, 1);(0, 1);(0, 1);(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(2, 0);(2, 1);(2, 2);(3, 2);(3, 1);(3, 2);(2, 2);(2, 1);(2, 2);(2, 1);(1, 1)","(0, 1)",0.8390886103705794,False
36,-1,20,"(5, 4)","(1, 0);(0, 0);(0, 0);(1, 0);(1, 1);(0, 1);(0, 1);(0, 2);(0, 3);(0, 4);(0, 5);(0, 5);(1, 5);(1, 5);(1, 5);(1, 4);(2, 4);(3, 4);(4, 4);(5, 4)","(5, 5)",0.8348931673187264,False
37,0,20,"(5, 2)","(0, 0);(1, 0);(0, 0);(1, 0);(0, 0);(1, 0);(2, 0);(3, 0);(4, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 1);(5, 0);(5, 0);(5, 0);(5, 1);(5, 2)","(5, 2)",0.8307187014821328,False
38,0,20,"(5, 0)","(0, 1);(0, 2);(0, 3);(0, 2);(1, 2);(2, 2);(2, 1);(2, 0);(3, 0);(3, 0);(4, 0);(3, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0)","(5, 0)",0.8265651079747222,False
39,-3,20,"(4, 0)","(1, 0);(1, 1);(2, 1);(1, 1);(1, 2);(0, 2);(0, 3);(0, 2);(0, 1);(0, 0);(0, 0);(0, 1);(0, 1);(1, 1);(1, 0);(2, 0);(2, 1);(2, 0);(3, 0);(4, 0)","(5, 0)",0.8224322824348486,False
40,0,20,"(4, 1)","(1, 0);(2, 0);(2, 1);(2, 0);(3, 0);(3, 0);(3, 0);(4, 0);(3, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0);(4, 0);(3, 0);(4, 0);(4, 1)","(4, 2)",0.8183201210226743,False
41,-1,20,"(4, 3)","(0, 0);(0, 0);(1, 0);(1, 0);(2, 0);(2, 1);(1, 1);(1, 2);(2, 2);(1, 2);(2, 2);(2, 3);(3, 3);(4, 3);(4, 2);(5, 2);(5, 2);(5, 2);(5, 3);(4, 3)","(3, 3)",0.8142285204175609,False
42,-2,20,"(1, 0)","(0, 1);(0, 2);(1, 2);(1, 1);(2, 1);(2, 0);(1, 0);(0, 0);(1, 0);(1, 0);(0, 0);(0, 1);(1, 1);(1, 0);(2, 0);(1, 0);(0, 0);(0, 0);(0, 0);(1, 0)","(2, 0)",0.810157377815473,False
43,-2,20,"(2, 1)","(0, 1);(0, 2);(0, 3);(0, 2);(0, 1);(0, 0);(0, 0);(1, 0);(2, 0);(1, 0);(1, 1);(1, 0);(0, 0);(1, 0);(1, 1);(1, 0);(2, 0);(3, 0);(3, 1);(2, 1)","(2, 0)",0.8061065909263957,False
44,-1,20,"(4, 1)","(0, 1);(0, 1);(1, 1);(1, 0);(2, 0);(3, 0);(3, 1);(3, 0);(4, 0);(5, 0);(5, 1);(5, 1);(5, 1);(5, 0);(5, 1);(5, 1);(5, 1);(4, 1);(3, 1);(4, 1)","(3, 1)",0.8020760579717637,False
45,-1,20,"(5, 2)","(0, 1);(1, 1);(1, 0);(2, 0);(2, 0);(2, 0);(2, 0);(3, 0);(3, 1);(3, 0);(3, 1);(4, 1);(4, 2);(4, 1);(3, 1);(3, 2);(4, 2);(5, 2);(4, 2);(5, 2)","(4, 2)",0.798065677681905,False
46,-3,20,"(2, 1)","(1, 0);(2, 0);(2, 1);(1, 1);(1, 0);(1, 0);(1, 1);(1, 2);(2, 2);(3, 2);(2, 2);(1, 2);(2, 2);(3, 2);(2, 2);(2, 3);(2, 2);(2, 1);(1, 1);(2, 1)","(2, 0)",0.7940753492934954,False
47,0,20,"(5, 2)","(1, 0);(2, 0);(2, 1);(2, 0);(2, 1);(2, 0);(2, 1);(3, 1);(4, 1);(4, 2);(3, 2);(4, 2);(4, 3);(5, 3);(5, 2);(5, 1);(5, 1);(5, 2);(5, 3);(5, 2)","(5, 2)",0.7901049725470279,False
48,-3,20,"(0, 2)","(0, 1);(0, 0);(0, 0);(0, 1);(1, 1);(0, 1);(0, 2);(1, 2);(1, 1);(1, 0);(1, 0);(0, 0);(0, 0);(1, 0);(1, 0);(2, 0);(2, 1);(1, 1);(1, 2);(0, 2)","(0, 3)",0.7861544476842928,False
